date,Renewable energy consumption(% in TFEC),Renewable energy consumption (TJ),Renewable energy consumption (% of total final energy consumption)
2016,,,13.4963998794556
2015,9.03131366096732,13392.29,9.08520030975342
2014,6.88323194465757,10395.83,6.84619998931885
2013,5.72319945121627,9008.533,5.71759986877441
2012,4.14785683220779,6621.974,4.14979982376099
2011,3.73329601518401,6095.948,3.76209998130798
2010,3.65968302593806,5982.91,3.67770004272461
2009,3.7371623657835,5739.787,3.73140001296997
2008,3.96635215639555,6569.038,3.96000003814697
2007,3.63501508063994,5968.012,3.64190006256104
2006,2.0922703686078,3520.942,2.0783998966217
